Episode 159 | Reward -18.0 | Avg5 -16.2
Episode 160 | Reward -15.0 | Avg5 -16.2
Episode 161 | Reward -17.0 | Avg5 -16.4
Episode 162 | Reward -15.0 | Avg5 -16.2
Episode 163 | Reward -18.0 | Avg5 -16.6
Episode 164 | Reward -19.0 | Avg5 -16.8
Episode 165 | Reward -15.0 | Avg5 -16.8
Episode 166 | Reward -17.0 | Avg5 -16.8
Episode 167 | Reward -18.0 | Avg5 -17.4
Episode 168 | Reward -14.0 | Avg5 -16.6
Episode 169 | Reward -16.0 | Avg5 -16.0
Episode 170 | Reward -17.0 | Avg5 -16.4
Episode 171 | Reward -16.0 | Avg5 -16.2
Episode 172 | Reward -19.0 | Avg5 -16.4
Episode 173 | Reward -17.0 | Avg5 -17.0
Episode 174 | Reward -15.0 | Avg5 -16.8
Episode 175 | Reward -15.0 | Avg5 -16.4
Episode 176 | Reward -18.0 | Avg5 -16.8
Episode 177 | Reward -19.0 | Avg5 -16.8
Episode 178 | Reward -18.0 | Avg5 -17.0
Episode 179 | Reward -15.0 | Avg5 -17.0
Episode 180 | Reward -15.0 | Avg5 -17.0
Episode 181 | Reward -15.0 | Avg5 -16.4
Episode 182 | Reward -19.0 | Avg5 -16.4
Episode 183 | Reward -16.0 | Avg5 -16.0
Episode 184 | Reward -18.0 | Avg5 -16.6
Episode 185 | Reward -11.0 | Avg5 -15.8
Episode 186 | Reward -17.0 | Avg5 -16.2
Episode 187 | Reward -15.0 | Avg5 -15.4
Episode 188 | Reward -15.0 | Avg5 -15.2
Episode 189 | Reward -13.0 | Avg5 -14.2
Episode 190 | Reward -15.0 | Avg5 -15.0
Episode 191 | Reward -19.0 | Avg5 -15.4
Episode 192 | Reward -13.0 | Avg5 -15.0
Episode 193 | Reward -16.0 | Avg5 -15.2
Episode 194 | Reward -10.0 | Avg5 -14.6
Episode 195 | Reward -19.0 | Avg5 -15.4
Episode 196 | Reward -15.0 | Avg5 -14.6
Episode 197 | Reward -16.0 | Avg5 -15.2
Episode 198 | Reward -17.0 | Avg5 -15.4
Episode 199 | Reward -14.0 | Avg5 -16.2
Episode 200 | Reward -16.0 | Avg5 -15.6
Episode 201 | Reward -18.0 | Avg5 -16.2
Episode 202 | Reward -15.0 | Avg5 -16.0
Episode 203 | Reward -15.0 | Avg5 -15.6
Episode 204 | Reward -15.0 | Avg5 -15.8
Episode 205 | Reward -17.0 | Avg5 -16.0
Episode 206 | Reward -17.0 | Avg5 -15.8
Episode 207 | Reward -17.0 | Avg5 -16.2
Episode 208 | Reward -14.0 | Avg5 -16.0
Episode 209 | Reward -19.0 | Avg5 -16.8
Episode 210 | Reward -18.0 | Avg5 -17.0
Episode 211 | Reward -20.0 | Avg5 -17.6
Episode 212 | Reward -15.0 | Avg5 -17.2
Episode 213 | Reward -19.0 | Avg5 -18.2
Episode 214 | Reward -21.0 | Avg5 -18.6
Episode 215 | Reward -16.0 | Avg5 -18.2
Episode 216 | Reward -20.0 | Avg5 -18.2
Episode 217 | Reward -18.0 | Avg5 -18.8
Episode 218 | Reward -18.0 | Avg5 -18.6
Episode 219 | Reward -17.0 | Avg5 -17.8
Episode 220 | Reward -18.0 | Avg5 -18.2
Episode 221 | Reward -14.0 | Avg5 -17.0
Episode 222 | Reward -14.0 | Avg5 -16.2
Episode 223 | Reward -14.0 | Avg5 -15.4
Episode 224 | Reward -15.0 | Avg5 -15.0
Episode 225 | Reward -9.0 | Avg5 -13.2
Episode 226 | Reward -19.0 | Avg5 -14.2
Episode 227 | Reward -16.0 | Avg5 -14.6
Episode 228 | Reward -18.0 | Avg5 -15.4
Episode 229 | Reward -15.0 | Avg5 -15.4
Episode 230 | Reward -17.0 | Avg5 -17.0
Episode 231 | Reward -20.0 | Avg5 -17.2
Episode 232 | Reward -17.0 | Avg5 -17.4
Episode 233 | Reward -16.0 | Avg5 -17.0
Episode 234 | Reward -11.0 | Avg5 -16.2
Episode 235 | Reward -18.0 | Avg5 -16.4
Episode 236 | Reward -12.0 | Avg5 -14.8
Episode 237 | Reward -16.0 | Avg5 -14.6
